name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Afternoon Run,Run,2023-12-14T01:23:53Z,1,81.2,145.0,3.384,3231.3,1328,True,164.0,4.712,955,Run,3.2,5,0,0
Evening Stair-Stepper,StairStepper,2023-12-12T02:20:17Z,1,57.1,131.9,0.0,0.0,2859,True,169.0,0.0,2859,StairStepper,0,7,0,0
Evening Stair-Stepper,StairStepper,2023-12-11T02:43:55Z,1,47.6,146.3,0.0,0.0,2849,True,185.0,0.0,2849,StairStepper,0,6,0,0
Lunch Run,Run,2023-12-09T20:33:43Z,1,82.3,145.3,3.562,3287.4,1025,True,158.0,4.973,923,Run,5.9,5,0,0
Afternoon Run,Run,2023-12-06T00:09:46Z,1,80.2,146.1,3.233,3530.1,1689,True,159.0,3.816,1092,Run,0.0,4,0,0
Evening Run,Run,2023-12-05T02:48:48Z,1,,,3.597,1661.9,475,False,,4.67,462,Run,0.0,5,0,0
Afternoon Run,Run,2023-11-22T22:39:44Z,3,,,2.99,4273.4,2489,False,,4.542,1429,Run,10.6,8,0,0
Afternoon Run,Run,2023-11-14T23:47:57Z,1,,,2.949,4971.8,2912,False,,5.312,1686,Run,8.3,8,0,0
Afternoon Elliptical,Elliptical,2023-11-14T14:20:00Z,1,,,3.028,11265.4,3720,False,,0,3720,Elliptical,0,7,0,0
Afternoon Run,Run,2023-11-14T00:13:36Z,1,,,3.017,4915.4,2287,False,,4.48,1629,Run,6.0,8,0,0
Afternoon Run,Run,2023-11-13T00:15:50Z,1,,,3.445,6593.4,2180,False,,7.884,1914,Run,9.1,10,2,0
Afternoon Run,Run,2023-11-10T00:16:50Z,1,,,3.325,8084.1,2703,False,,4.624,2431,Run,15.0,10,0,0
Afternoon Run,Run,2023-11-08T17:19:00Z,1,,,2.98,8046.7,2700,False,,0,2700,Run,0,7,0,0
Afternoon Run,Run,2023-11-07T01:43:56Z,1,81.2,142.5,2.999,3310.8,1104,True,154.0,3.924,1104,Run,5.9,7,0,0
Elliptical,Workout,2023-11-07T00:32:02Z,1,,154.3,0.0,0.0,3756,True,182.0,0.0,3756,Workout,0,5,0,0
Evening Ride,Workout,2023-11-06T02:40:07Z,1,,138.0,0.0,0.0,3162,True,152.0,0.0,3162,Workout,0,4,0,0
Evening Run,Run,2023-11-06T02:09:32Z,2,78.9,130.1,2.911,2235.9,817,True,150.0,3.761,768,Run,4.4,8,0,0
Afternoon Run,Run,2023-11-03T23:59:15Z,1,83.2,150.9,3.503,3236.5,924,True,159.0,4.41,924,Run,0.0,8,0,0
Evening Run,Run,2023-11-03T01:38:01Z,1,,,2.95,2058.9,911,False,,7.013,698,Run,0.0,8,0,0
Evening Run,Run,2023-11-02T01:49:01Z,2,81.9,150.1,3.331,1895.3,569,True,165.0,3.876,569,Run,0.0,8,0,0
Elliptical,Workout,2023-11-01T15:58:13Z,1,,147.9,0.0,0.0,2777,True,189.0,0.0,2777,Workout,0,6,0,0
Afternoon Ride,Workout,2023-10-31T00:06:23Z,1,,128.8,0.0,0.0,5495,True,165.0,0.0,5495,Workout,0,3,0,0
Afternoon Run,Run,2023-10-30T00:40:27Z,1,83.4,124.4,3.614,1326.4,565,True,150.0,4.311,367,Run,0.0,5,0,0
Afternoon Ride,Workout,2023-10-29T23:36:41Z,1,,123.2,0.0,0.0,2896,True,139.0,0.0,2896,Workout,0,3,0,0
Afternoon Run,Run,2023-10-29T00:52:03Z,1,80.7,142.6,3.296,4999.7,2095,True,161.0,4.574,1517,Run,0.0,6,0,0
Afternoon Run,Run,2023-10-27T00:24:30Z,1,,,3.12,1625.7,536,False,,4.464,521,Run,0.0,5,0,0
Evening Run,Run,2023-10-26T01:19:52Z,1,80.2,135.4,3.157,4100.8,1715,True,152.0,4.137,1299,Run,0.0,3,0,0
Evening Run,Run,2023-10-26T01:03:57Z,3,,,2.915,6462.9,3650,False,,4.563,2217,Run,6.3,7,0,0
Evening Run,Run,2023-10-25T01:24:12Z,4,80.9,139.1,3.284,2433.2,1031,True,152.0,4.007,741,Run,0.0,3,0,0
Evening Run,Run,2023-10-25T01:04:50Z,3,80.5,140.0,3.238,1651.6,510,True,151.0,4.032,510,Run,0.0,5,0,0
Evening Ride,Ride,2023-10-18T18:12:41Z,1,,,0.0,0.0,3720,False,,0,3720,Ride,0,6,0,0
Evening Workout,Workout,2023-10-18T01:12:10Z,1,,140.2,0.0,0.0,3761,True,169.0,0.0,3761,Workout,0,6,0,0
Afternoon Run,Run,2023-10-16T23:13:13Z,1,82.3,141.0,3.471,3741.7,1758,True,159.0,4.844,1078,Run,8.6,9,0,0
Afternoon Workout,Workout,2023-10-15T21:44:07Z,1,,131.7,0.0,0.0,5759,True,160.0,0.0,5759,Workout,0,4,0,0
Evening Run,Run,2023-10-14T01:37:47Z,1,80.9,129.1,2.976,2146.1,1170,True,145.0,4.183,721,Run,3.1,8,0,0
Afternoon Workout,Workout,2023-10-14T00:43:44Z,1,,136.9,0.0,0.0,2926,True,162.0,0.0,2926,Workout,0,5,0,0
Evening Run,Run,2023-10-13T01:25:57Z,2,74.9,118.6,2.553,2604.4,1065,True,135.0,4.872,1020,Run,3.7,8,0,0
Evening Run,Run,2023-10-09T01:00:51Z,4,80.4,126.2,2.906,24514.6,11251,True,155.0,9.15,8437,Run,192.4,20,4,0
Afternoon Workout,Workout,2023-10-07T21:25:43Z,1,,137.7,0.0,0.0,3118,True,165.0,0.0,3118,Workout,0,3,0,0
Afternoon Run,Run,2023-10-07T00:25:20Z,2,,,2.846,6422.8,2609,False,,4.804,2257,Run,9.5,7,0,0
Afternoon Run,Run,2023-10-04T22:57:17Z,1,81.5,142.1,3.138,12882.6,4785,True,163.0,4.997,4105,Run,6.1,11,0,0
Evening Run,Run,2023-10-04T01:06:39Z,1,80.8,137.3,3.052,9762.2,4633,True,152.0,5.19,3199,Run,16.3,10,0,0
Afternoon Run,Run,2023-10-03T00:13:01Z,2,80.0,129.4,2.974,2135.5,786,True,143.0,4.48,718,Run,2.0,6,0,0
Evening Run,Run,2023-10-02T02:55:47Z,1,,,3.353,804.7,240,False,,0,240,Run,0,0,0,0
Afternoon Run,Run,2023-10-01T21:27:10Z,1,85.2,171.3,4.042,21094.3,5630,True,186.0,17.24,5219,Run,152.1,20,5,4
Morning Run,Run,2023-09-29T14:55:08Z,2,81.4,130.6,2.976,10443.3,4566,True,148.0,4.284,3509,Run,17.0,10,0,0
Afternoon Run,Run,2023-09-28T00:17:46Z,3,,,3.154,13075.2,4727,False,,4.983,4146,Run,14.8,6,0,0
Evening Run,Run,2023-09-27T01:19:52Z,2,82.9,146.2,3.368,9667.5,3229,True,165.0,4.788,2870,Run,45.3,14,1,1
Morning Run,Run,2023-09-25T15:44:32Z,1,84.0,137.6,3.596,6509.2,2205,True,151.0,6.883,1810,Run,9.0,13,1,0
Lunch Ride,Ride,2023-09-23T18:09:46Z,1,,,6.706,119896.0,17880,False,,0,17880,Ride,0,9,0,0
Morning Ride,Ride,2023-09-23T14:25:22Z,8,,125.4,6.868,69606.6,15225,True,160.0,11.512,10135,Ride,88.3,0,0,0
Evening Workout,Workout,2023-09-22T03:05:29Z,1,,121.8,0.0,0.0,2832,True,155.0,0.0,2832,Workout,0,4,0,0
Evening Run,Run,2023-09-20T01:27:08Z,12,88.0,169.3,5.065,3267.0,1054,True,201.0,7.614,645,Run,0.0,2,4,0
Evening Run,Run,2023-09-20T01:00:32Z,5,79.8,147.2,3.452,1608.4,533,True,168.0,4.176,466,Run,0.0,1,0,0
Afternoon Run,Run,2023-09-19T00:14:46Z,4,76.5,130.9,2.951,7341.9,2758,True,160.0,4.698,2488,Run,10.1,6,0,0
Afternoon Run,Run,2023-09-16T00:13:46Z,3,79.7,140.5,3.166,3296.0,1098,True,151.0,5.13,1041,Run,6.0,3,0,0
Afternoon Run,Run,2023-09-15T23:45:58Z,1,82.1,137.6,3.379,1121.7,440,True,151.0,5.71,332,Run,3.0,3,0,0
Evening Run,Run,2023-09-13T02:18:37Z,4,80.5,145.7,1.712,2122.4,2368,True,153.0,3.912,1240,Run,0.0,5,0,0
Evening Run,Run,2023-09-13T01:02:31Z,7,,,3.225,9150.7,4895,False,,6.36,2837,Run,6.0,6,0,0
Afternoon Run,Run,2023-09-12T00:13:31Z,4,80.4,145.3,3.457,9571.9,3159,True,159.0,5.362,2769,Run,12.3,10,0,0
Afternoon Run,Run,2023-09-09T21:25:37Z,3,79.7,150.0,3.099,16776.6,6569,True,177.0,5.197,5413,Run,183.0,11,0,0
Evening Run,Run,2023-09-08T03:39:30Z,1,,,3.219,13196.6,4100,False,,0,4100,Run,0,4,0,0
Afternoon Run,Run,2023-09-07T00:13:57Z,4,,,3.038,12888.8,4436,False,,4.005,4242,Run,30.0,3,0,0
Evening Run,Run,2023-09-06T02:00:00Z,1,,,3.353,10460.8,3120,False,,0,3120,Run,0,2,0,0
Evening Run,Run,2023-09-06T01:36:09Z,11,89.3,158.9,4.04,1640.4,533,True,177.0,7.077,406,Run,0.0,4,1,1
Evening Run,Run,2023-09-05T01:36:53Z,2,,,2.942,3351.1,1187,False,,5.743,1139,Run,7.3,2,0,0
Evening Run,Run,2023-09-04T02:25:41Z,3,80.1,131.0,2.867,7917.3,3324,True,145.0,4.85,2762,Run,14.4,4,0,0
Morning Run,Run,2023-09-02T17:19:06Z,6,79.4,131.2,2.425,6066.2,3473,True,148.0,3.917,2501,Run,327.1,10,5,4
Afternoon Run,Run,2023-09-01T23:52:54Z,7,80.5,146.2,3.403,9897.2,4421,True,165.0,5.144,2908,Run,24.8,0,1,0
Evening Run,Run,2023-09-01T02:19:18Z,1,80.4,138.2,3.29,9139.0,3653,True,159.0,5.122,2778,Run,13.7,0,0,0
Afternoon Run,Run,2023-08-29T23:44:05Z,1,81.1,136.9,3.445,1099.0,406,True,152.0,5.18,319,Run,2.2,0,0,0
Afternoon Run,Run,2023-08-29T00:18:55Z,7,78.1,143.0,3.007,6682.4,2255,True,154.0,3.848,2222,Run,8.5,0,0,0
Afternoon Bike,Workout,2023-08-27T20:49:54Z,1,,131.2,0.0,0.0,5406,True,153.0,0.0,5406,Workout,0,3,0,0
Afternoon Bike,Workout,2023-08-26T00:20:17Z,1,,142.4,0.0,0.0,3871,True,174.0,0.0,3871,Workout,0,1,0,0
Evening Run,Run,2023-08-25T01:35:01Z,2,79.1,128.3,3.038,9675.3,3523,True,146.0,4.692,3185,Run,15.7,2,0,0
Evening Run,Run,2023-08-24T01:25:45Z,1,80.6,133.6,3.168,3228.7,1584,True,151.0,4.41,1019,Run,7.5,3,0,0
Afternoon Run,Run,2023-08-23T00:25:25Z,1,82.8,169.6,4.046,12882.0,4036,True,193.0,6.112,3184,Run,0.0,6,1,0
Morning Run,Run,2023-08-21T15:26:43Z,1,82.8,152.5,3.602,9217.9,2847,True,164.0,4.812,2559,Run,12.7,0,0,0
Lunch Run,Run,2023-08-20T18:23:00Z,1,79.8,127.3,2.679,610.9,290,True,140.0,4.449,228,Run,3.3,0,0,0
Morning Run,Run,2023-08-19T16:05:09Z,1,81.8,147.5,3.488,18209.1,5357,True,165.0,4.414,5221,Run,5.1,6,32,13
Morning Run,Run,2023-08-18T14:52:18Z,2,79.3,133.7,3.127,11067.8,4953,True,145.0,5.052,3539,Run,23.4,0,0,0
Evening Run,Run,2023-08-14T23:29:25Z,1,81.8,158.0,3.443,4097.7,1279,True,172.0,4.894,1190,Run,3.2,0,1,0
Evening Run,Run,2023-08-12T00:25:11Z,2,80.2,146.5,3.116,9818.8,3512,True,167.0,5.454,3151,Run,5.2,0,0,0
Evening Run,Run,2023-08-10T00:20:41Z,1,79.9,147.7,3.6,14595.4,4924,True,167.0,14.68,4054,Run,10.4,0,4,3
Evening Run,Run,2023-08-07T01:39:59Z,1,78.6,145.2,3.182,8403.8,2862,True,158.0,6.793,2641,Run,0.0,0,0,0
Evening Run,Run,2023-08-05T00:10:44Z,1,81.1,155.2,3.309,11273.3,4740,True,195.0,5.155,3407,Run,5.3,0,1,0
