name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
i cant swim,Swim,2023-09-07T02:06:40Z,1,,,0.821,1550.0,3982,False,,16.0,1887,Swim,0,7,0,0
TRI TRI TRI,Run,2023-09-06T01:03:10Z,6,90.2,,3.528,12679.9,5674,False,,7.692,3594,Run,0.0,11,7,3
beach beach beach,Run,2023-09-04T15:20:06Z,1,86.5,,3.127,16595.1,5449,False,,4.908,5307,Run,221.0,10,13,3
Morning Run,Run,2023-09-02T16:50:39Z,5,85.0,,2.532,9161.3,5175,False,,4.024,3618,Run,414.9,5,0,0
Afternoon Run,Run,2023-09-02T00:13:47Z,7,87.8,,3.369,8917.8,3164,False,,5.442,2647,Run,21.9,0,0,0
Morning Run,Run,2023-08-31T14:09:05Z,5,88.6,,3.422,6706.8,2296,False,,4.364,1960,Run,10.2,0,0,0
Evening Run,Run,2023-08-30T01:04:33Z,4,88.6,,3.669,7564.9,3948,False,,6.75,2062,Run,0.0,0,7,4
Morning Run,Run,2023-08-29T15:37:35Z,1,86.5,,2.631,5227.5,1987,False,,3.361,1987,Run,0,0,0,0
Afternoon Run,Run,2023-08-29T00:22:56Z,1,85.8,,3.24,6425.4,2012,False,,11.1,1983,Run,9.2,0,1,1
Morning Run,Run,2023-08-27T15:32:18Z,1,87.1,,2.721,6943.4,2552,False,,3.916,2552,Run,0,0,0,0
Afternoon Run,Run,2023-08-26T00:41:31Z,1,88.2,,2.963,5310.4,1792,False,,3.486,1792,Run,0,0,0,0
Morning Run,Run,2023-08-24T16:03:10Z,1,87.2,,3.001,8290.4,3251,False,,7.172,2763,Run,3.5,0,7,4
Morning Run,Run,2023-08-22T14:08:13Z,1,86.8,,2.629,5452.0,3089,False,,3.447,2074,Run,11.3,0,2,1
Morning Run,Run,2023-08-20T15:19:20Z,1,88.0,,2.827,4843.4,1987,False,,4.203,1713,Run,5.0,0,1,0
Morning Run,Run,2023-08-19T14:34:17Z,1,85.3,,2.727,9883.9,4058,False,,6.054,3625,Run,8.6,0,2,0
Morning Run,Run,2023-08-18T14:41:13Z,1,85.1,,2.618,4986.8,1932,False,,5.412,1905,Run,3.6,0,0,0
Morning Run,Run,2023-08-15T14:37:42Z,1,86.3,,2.754,4882.4,1976,False,,3.517,1773,Run,20.6,0,0,0
Morning Run,Run,2023-08-14T13:37:09Z,2,85.9,,2.845,9720.7,3417,False,,7.637,3417,Run,139.7,0,2,0
Morning Run,Run,2023-08-11T14:28:17Z,2,87.4,,2.997,6464.9,2203,False,,3.576,2157,Run,68.2,0,5,0
Afternoon Run,Run,2023-08-10T22:51:09Z,1,85.4,,2.761,6841.4,5755,False,,5.348,2478,Run,163.1,0,1,0
Afternoon Run,Run,2023-08-09T00:31:02Z,1,86.2,,3.126,4857.8,1554,False,,6.734,1554,Run,114.6,0,3,1
Morning Run,Run,2023-08-07T15:39:57Z,1,86.1,,2.826,4820.6,1738,False,,4.258,1706,Run,114.6,0,3,0
Morning Run,Run,2023-08-05T14:23:44Z,1,85.6,,2.546,4832.7,1898,False,,3.821,1898,Run,114.5,0,0,0
Morning Run,Run,2023-07-29T15:14:57Z,1,85.8,,2.857,16108.6,5645,False,,6.214,5638,Run,242.6,0,15,0
Morning Run,Run,2023-07-27T14:42:04Z,1,86.1,,2.714,4833.6,1781,False,,5.466,1781,Run,114.9,0,1,1
Morning Run,Run,2023-07-26T15:08:41Z,1,84.8,,2.685,9669.0,4008,False,,3.647,3601,Run,34.6,0,0,0
Morning Run,Run,2023-07-25T17:10:15Z,1,84.9,,2.803,9746.7,3525,False,,5.235,3477,Run,157.0,0,3,0
Morning Run,Run,2023-07-21T14:50:40Z,1,87.4,,2.893,4822.7,1757,False,,4.098,1667,Run,114.6,0,0,0
Lunch Run,Run,2023-07-20T18:00:47Z,1,84.8,,2.949,11026.0,3838,False,,4.208,3739,Run,161.1,0,0,0
Morning Run,Run,2023-07-15T15:11:22Z,1,86.3,,2.95,11354.5,3856,False,,3.887,3849,Run,92.0,0,1,0
Morning Run,Run,2023-07-13T15:09:21Z,2,85.8,,3.129,5634.5,1801,False,,3.658,1801,Run,59.3,0,6,4
Morning Run,Run,2023-07-11T17:49:25Z,1,85.3,,2.679,4819.1,1799,False,,3.938,1799,Run,114.4,0,0,0
Morning Run,Run,2023-07-10T17:25:14Z,1,86.0,,3.295,5802.0,1766,False,,4.5,1761,Run,14.5,0,1,0
Morning Run,Run,2023-07-09T17:39:06Z,1,86.1,,2.747,4801.9,1748,False,,4.081,1748,Run,114.4,0,0,0
