name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Lunch Run,Run,2024-02-09T19:36:47Z,1,82.7,139.5,7.609191489361703,3235.7,1337,True,160.0,4.821,918,Run,4.1,6,0,0
Afternoon Run,Run,2024-02-09T01:24:11Z,1,81.6,130.7,8.304148606811145,6455.8,2801,True,154.0,5.016,1999,Run,11.8,3,0,0
Afternoon Run,Run,2024-02-07T23:43:12Z,1,80.1,149.1,9.388309415470774,1614.2,565,True,164.0,3.526,565,Run,0,2,0,0
Evening Run,Run,2024-02-07T03:15:46Z,1,80.6,141.0,8.263216266173753,3894.6,1200,True,159.0,3.411,1200,Run,0,3,0,0
Afternoon Ride,Ride,2024-02-06T01:15:19Z,1,,132.0,0.0,0.0,2040,True,182.0,0.0,2040,Ride,0,8,0,0
Morning Stair-Stepper,StairStepper,2024-02-04T18:09:41Z,1,58.8,127.5,0.0,0.0,3746,True,165.0,0.0,3746,StairStepper,0,9,0,0
Afternoon Ride,Ride,2024-02-01T21:27:59Z,1,,136.0,0.0,0.0,2920,True,170.0,0.0,2920,Ride,0,2,0,0
Afternoon Stair-Stepper,StairStepper,2024-02-01T00:16:15Z,1,62.0,136.1,0.0,0.0,3806,True,170.0,0.0,3806,StairStepper,0,5,0,0
Evening Run,Run,2024-01-31T03:20:36Z,1,83.1,153.1,7.579090138457191,3715.7,1067,True,167.0,5.276,1050,Run,3.9,1,0,0
Afternoon Run,Run,2024-01-28T00:40:44Z,4,81.4,124.0,10.850485436893205,3297.3,1531,True,142.0,3.718,1334,Run,25.6,3,0,0
Lunch Run,Run,2024-01-27T20:40:54Z,4,81.2,137.4,9.91219512195122,1620.6,685,True,157.0,3.324,599,Run,46.5,0,0,0
Morning Walk,Walk,2024-01-27T18:54:52Z,2,51.8,89.0,20.87346303501946,1648.7,3848,True,111.0,9.399,1283,Walk,38.6,0,0,0
Morning Run,Run,2024-01-27T17:44:20Z,5,82.5,141.1,8.337705937208579,6146.9,2577,True,167.0,4.512,1911,Run,66.6,3,0,0
Afternoon Run,Run,2024-01-26T23:15:08Z,1,79.6,119.8,10.703272146847567,1841.7,804,True,137.0,4.046,735,Run,2.5,5,0,0
Afternoon Run,Run,2024-01-24T01:45:56Z,3,82.8,149.9,7.665733066590455,2792.1,1397,True,176.0,4.67,798,Run,3.9,3,0,0
Afternoon Run,Run,2024-01-23T00:04:54Z,2,80.6,138.4,9.064684014869888,6444.2,2579,True,159.0,3.728,2178,Run,11.7,3,2,0
